,Greene County,,Illegal,Illegal,
,Gwinnett County,,Illegal,Illegal,
,Habersham County,,Illegal,Illegal,
,Hall County,,Illegal,Illegal,
,Hancock County,,Illegal,Illegal,
,Haralson County,,Illegal,Illegal,
,Harris County,,Illegal,Illegal,
,Hart County,,Illegal,Illegal,
,Heard County,,Illegal,Illegal,
,Henry County,,Illegal,Illegal,
,Houston County,,Illegal,Illegal,
,Irwin County,,Illegal,Illegal,
,Jackson County,,Illegal,Illegal,
,Jasper County,,Illegal,Illegal,
,Jeff Davis County,,Illegal,Illegal,
,Jefferson County,,Illegal,Illegal,
,Jenkins County,,Illegal,Illegal,
,Johnson County,,Illegal,Illegal,
,Jones County,,Illegal,Illegal,
,Lamar County,,Illegal,Illegal,
,Lanier County,,Illegal,Illegal,
,Laurens County,,Illegal,Illegal,
,Lee County,,Illegal,Illegal,
,Liberty County,,Illegal,Illegal,
,Lincoln County,,Illegal,Illegal,
,Long County,,Illegal,Illegal,
,Lowndes County,,Illegal,Illegal,
,Lumpkin County,,Illegal,Illegal,
,Macon County,,Illegal,Decriminalized,1 ounce
,Madison County,,Illegal,Illegal,
,Marion County,,Illegal,Illegal,
,McDuffie County,,Illegal,Illegal,
,McIntosh County,,Illegal,Illegal,
,Meriwether County,,Illegal,Illegal,
,Miller County,,Illegal,Illegal,
,Mitchell County,,Illegal,Illegal,
,Monroe County,,Illegal,Illegal,
,Montgomery County,,Illegal,Illegal,
,Morgan County,,Illegal,Illegal,
,Murray County,,Illegal,Illegal,
,Muscogee County,,Illegal,Illegal,
,Newton County,,Illegal,Illegal,
,Oconee County,,Illegal,Illegal,
,Oglethorpe County,,Illegal,Illegal,
,Paulding County,,Illegal,Illegal,
,Peach County,,Illegal,Illegal,
,Pickens County,,Illegal,Illegal,
,Pierce County,,Illegal,Illegal,
,Pike County,,Illegal,Illegal,
,Polk County,,Illegal,Illegal,
,Pulaski County,,Illegal,Illegal,
,Putnam County,,Illegal,Illegal,
,Quitman County,,Illegal,Illegal,
,Rabun County,,Illegal,Illegal,
,Randolph County,,Illegal,Illegal,
,Richmond County,,Illegal,Illegal,
,Rockdale County,,Illegal,Illegal,
,Schley County,,Illegal,Illegal,
,Screven County,,Illegal,Illegal,
,Seminole County,,Illegal,Illegal,
,Spalding County,,Illegal,Illegal,
,Stephens County,,Illegal,Illegal,
,Stewart County,,Illegal,Illegal,
,Sumter County,,Illegal,Illegal,
,Talbot County,,Illegal,Illegal,
,Taliaferro County,,Illegal,Illegal,
,Tattnall County,,Illegal,Illegal,
,Taylor County,,Illegal,Illegal,
,Telfair County,,Illegal,Illegal,
,Terrell County,,Illegal,Illegal,
,Thomas County,,Illegal,Illegal,
,Tift County,,Illegal,Illegal,
,Toombs County,,Illegal,Illegal,
,Towns County,,Illegal,Illegal,
,Treutlen County,,Illegal,Illegal,
,Troup County,,Illegal,Illegal,
,Turner County,,Illegal,Illegal,
,Twiggs County,,Illegal,Illegal,
,Union County,,Illegal,Illegal,
,Upson County,,Illegal,Illegal,
,Walker County,,Illegal,Illegal,
,Walton County,,Illegal,Illegal,
,Ware County,,Illegal,Illegal,
,Warren County,,Illegal,Illegal,
,Washington County,,Illegal,Illegal,
,Wayne County,,Illegal,Illegal,
,Webster County,,Illegal,Illegal,
,Wheeler County,,Illegal,Illegal,
,White County,,Illegal,Illegal,
,Whitfield County,,Illegal,Illegal,
,Wilcox County,,Illegal,Illegal,
,Wilkes County,,Illegal,Illegal,
,Wilkinson County,,Illegal,Illegal,
,Worth County,,Illegal,Illegal,
Hawaii,,,Legal,Decriminalized,3 grams
,Hawai'i County,,Legal,Decriminalized,3 grams
,Honolulu County,,Legal,Decriminalized,3 grams
,Kalawao County,,Legal,Decriminalized,3 grams
,Kauai County,,Legal,Decriminalized,3 grams
,Maui County,,Legal,Decriminalized,3 grams
Idaho,,,Illegal,Illegal,
,Ada County,,Illegal,Illegal,
,Adams County,,Illegal,Illegal,
,Bannock County,,Illegal,Illegal,
